Dataset,Group,name,SampleID,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads,Gene.ID,TotalRpoBHitsInSample,SkinSite,microenvironment,NormHits,superkingdom,phylum,class,order,family,genus,species
LKMB002,B12_Riboswitch,Acidipropionibacterium virtanenii,LKMB002-1-17_S21,2057246,S,1,0,1,2.4e-4,RF00174,14696,alar crease,sebaceous,6.804572672836147e-5,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium virtanenii
LKMB002,B12_Riboswitch,Acidipropionibacterium virtanenii,LKMB002-1-19_S23,2057246,S,1,0,1,4.5e-4,RF00174,10079,occiput,sebaceous,9.921619208254787e-5,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium virtanenii
LKMB002,B12_Riboswitch,Acidipropionibacterium virtanenii,LKMB002-1-20_S24,2057246,S,2,0,2,0.01893,RF00174,1076,back,sebaceous,0.0018587360594795538,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium virtanenii
LKMB002,B12_Riboswitch,Acidipropionibacterium virtanenii,LKMB002-1-22_S26,2057246,S,4,0,4,0.03333,RF00174,3204,antecubital fossa,moist,0.0012484394506866417,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium virtanenii
LKMB002,B12_Riboswitch,Acidipropionibacterium virtanenii,LKMB002-1-38_S42,2057246,S,2,0,2,0.00217,RF00174,4593,volar_forearm,dry,4.3544524276072284e-4,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium virtanenii
LKMB002,B12_Riboswitch,Acidipropionibacterium virtanenii,LKMB002-2-016_S107,2057246,S,1,0,1,0.00377,RF00174,1665,volar_forearm,dry,6.006006006006006e-4,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium virtanenii
LKMB002,B12_Riboswitch,Acidipropionibacterium virtanenii,LKMB002-2-032_S123,2057246,S,1,0,1,6.6e-4,RF00174,7205,volar_forearm,dry,1.3879250520471896e-4,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium virtanenii
LKMB002,B12_Riboswitch,Bacteroides helcogenes,LKMB002-1-31_S35,290053,S,1,0,1,0.00211,RF00174,4688,antecubital fossa,moist,2.1331058020477816e-4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides helcogenes
LKMB002,B12_Riboswitch,Bacteroides helcogenes,LKMB002-1-65_S64,290053,S,1,0,1,0.0086,RF00174,14711,umbilicus,moist,6.797634423220719e-5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides helcogenes
LKMB002,B12_Riboswitch,Bacteroides helcogenes,LKMB002-1-85_S84,290053,S,2,0,2,6.1e-4,RF00174,13462,occiput,sebaceous,1.485663348685188e-4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides helcogenes
LKMB002,B12_Riboswitch,Bacteroides helcogenes,LKMB002-1-89_S88,290053,S,30,0,30,0.08823,RF00174,19152,umbilicus,moist,0.0015664160401002505,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides helcogenes
LKMB002,B12_Riboswitch,Bacteroides helcogenes,LKMB002-2-005_S164,290053,S,1,0,1,0.01205,RF00174,2824,nare,moist,3.541076487252125e-4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides helcogenes
LKMB002,B12_Riboswitch,Bacteroides helcogenes,LKMB002-2-016_S107,290053,S,3,0,3,0.01132,RF00174,1665,volar_forearm,dry,0.0018018018018018018,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides helcogenes
LKMB002,B12_Riboswitch,Bacteroides helcogenes,LKMN002-3-04_S207,290053,S,2,0,2,0.00766,RF00174,8791,umbilicus,moist,2.2750540325332727e-4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides helcogenes
