Species,LKMN002-3-94_S293,LKMN002-3-95_S294
Archaea;Candidatus Korarchaeota;NA;NA;NA;Candidatus Korarchaeum;Candidatus Korarchaeum cryptofilum,0,0
Archaea;Candidatus Lokiarchaeota;NA;NA;NA;Candidatus Prometheoarchaeum;Candidatus Prometheoarchaeum syntrophicum,0,0
Archaea;Candidatus Micrarchaeota;NA;NA;NA;Candidatus Mancarchaeum;Candidatus Mancarchaeum acidiphilum,0,0
Archaea;Candidatus Micrarchaeota;NA;NA;NA;Candidatus Micrarchaeum;Candidatus Micrarchaeum sp.,0,0
Archaea;Candidatus Thermoplasmatota;NA;NA;NA;Aciduliprofundum;Aciduliprofundum boonei,0,0
Archaea;Candidatus Thermoplasmatota;NA;NA;NA;Aciduliprofundum;Aciduliprofundum sp. MAR08-339,0,0
Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Candidatus Methanomethylophilaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus alvus,0,0
Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanoplasma;Candidatus Methanoplasma termitum,0,0
Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis,0,0
Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Cuniculiplasmataceae;Cuniculiplasma;Cuniculiplasma divulgatum,0,0
Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Ferroplasma;Ferroplasma acidarmanus,0,0
Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Ferroplasma;Ferroplasma acidiphilum,0,0
Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Picrophilaceae;Picrophilus;Picrophilus torridus,0,0
Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Thermoplasma;Thermoplasma acidophilum,0,0
Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Thermoplasma;Thermoplasma volcanium,0,0
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Acidilobaceae;Acidilobus;Acidilobus saccharovorans,0,0
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Acidilobaceae;Acidilobus;Acidilobus sp. 7A,0,0
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Caldisphaeraceae;Caldisphaera;Caldisphaera lagunensis,0,0
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum;Aeropyrum camini,0,0
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum;Aeropyrum pernix,0,0
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;Desulfurococcus mucosus,0,0
