species,genes.Inclusion,genes.GeneName,genes.KO,genes.Threshold,genes.Score,genes.Evalue,genes.KODefinition,Gene ID,Gene Description
Corynebacterium_ammoniagenesstrain_KCCM_40472,*,Corynebacterium_ammoniagenesstrain_KCCM_40472_00485,K02492,72.67,472.4,4e-142,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_ammoniagenesstrain_KCCM_40472,*,Corynebacterium_ammoniagenesstrain_KCCM_40472_00486,K01749,112.17,346.5,2.9e-104,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_ammoniagenesstrain_KCCM_40472,*,Corynebacterium_ammoniagenesstrain_KCCM_40472_00487,K13542,412.30,618.5,2.9e-186,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],cobA-hemD,uroporphyrinogen III methyltransferase / synthase
Corynebacterium_ammoniagenesstrain_KCCM_40472,*,Corynebacterium_ammoniagenesstrain_KCCM_40472_00488,K01698,175.97,574.5,4.7e-173,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_ammoniagenesstrain_KCCM_40472,*,Corynebacterium_ammoniagenesstrain_KCCM_40472_00496,K01845,309.63,585.6,2.2e-176,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
Corynebacterium_ammoniagenesstrain_KCCM_40472,*,Corynebacterium_ammoniagenesstrain_KCCM_40472_01033,K22316,318.33,453.6,1.1e-136,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],cobC/rnhA,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase
Corynebacterium_ammoniagenesstrain_KCCM_40472,*,Corynebacterium_ammoniagenesstrain_KCCM_40472_01065,K00768,120.60,246.6,7.4e-74,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],cobU/cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
Corynebacterium_amycolatum_LK19,*,Corynebacterium_amycolatum_LK19_00056,K02228,126.63,322.8,3.9e-97,precorrin-6A synthase [EC:2.1.1.152],cobF,precorrin-6A synthase 
Corynebacterium_amycolatum_LK19,*,Corynebacterium_amycolatum_LK19_00227,K02230,1031.53,1502.8,0,cobaltochelatase CobN [EC:6.6.1.2],cobN,cobaltochelatase CobN
Corynebacterium_amycolatum_LK19,*,Corynebacterium_amycolatum_LK19_00229,K02229,272.23,410.8,8.3e-124,precorrin-3B synthase [EC:1.14.13.83],cobG,precorrin-3B synthase
Corynebacterium_amycolatum_LK19,*,Corynebacterium_amycolatum_LK19_00230,K06042,132.10,302.7,3.9e-91,precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60],cobH/cbiC,precorrin-8X/cobalt-precorrin-8 methylmutase
Corynebacterium_amycolatum_LK19,*,Corynebacterium_amycolatum_LK19_00231,K13540,602.20,726.6,1.6e-219,precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase [EC:2.1.1.130 2.1.1.131],cobIJ,precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase
Corynebacterium_amycolatum_LK19,*,Corynebacterium_amycolatum_LK19_00232,K05895,156.53,336.0,4.6e-101,precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106],cobK/cbiJ,precorrin-6A/cobalt-precorrin-6A reductase
Corynebacterium_amycolatum_LK19,*,Corynebacterium_amycolatum_LK19_00233,K05936,231.50,399.9,2e-120,precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271],cobM/cbiF,precorrin-4/cobalt-precorrin-4 C11-methyltransferase
Corynebacterium_amycolatum_LK19,*,Corynebacterium_amycolatum_LK19_00234,K00595,219.93,406.6,1.6e-122,"precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]",cobL/cbiET,"precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase"
Corynebacterium_amycolatum_LK19,*,Corynebacterium_amycolatum_LK19_00494,K02303,259.40,331.8,9.3e-100,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],cobA,uroporphyrin-III C-methyltransferase
Corynebacterium_amycolatum_LK19,*,Corynebacterium_amycolatum_LK19_00495,K02224,128.03,591.3,2.5e-178,"cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]",cobB/cbiA,"cobyrinic acid a,c-diamide synthase"
Corynebacterium_amycolatum_LK19,*,Corynebacterium_amycolatum_LK19_00496,K19221,114.37,232.5,7.5e-70,cob(I)alamin adenosyltransferase [EC:2.5.1.17],cobA/btuR,cob(I)alamin adenosyltransferase
Corynebacterium_amycolatum_LK19,*,Corynebacterium_amycolatum_LK19_00502,K02232,241.80,657.4,3.5e-198,adenosylcobyric acid synthase [EC:6.3.5.10],cobQ/cbiP,adenosylcobyric acid synthase 
Corynebacterium_amycolatum_LK19,*,Corynebacterium_amycolatum_LK19_01139,K01845,309.63,624.6,2.8e-188,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
Corynebacterium_amycolatum_LK19,*,Corynebacterium_amycolatum_LK19_01143,K01698,175.97,575.8,1.6e-173,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_amycolatum_LK19,*,Corynebacterium_amycolatum_LK19_01144,K13542,412.30,673.5,5.9e-203,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],cobA-hemD,uroporphyrinogen III methyltransferase / synthase
Corynebacterium_amycolatum_LK19,*,Corynebacterium_amycolatum_LK19_01145,K01749,112.17,375.4,4.2e-113,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_amycolatum_LK19,*,Corynebacterium_amycolatum_LK19_01146,K02492,72.67,472.3,3.5e-142,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_amycolatum_LK19,*,Corynebacterium_amycolatum_LK19_01652,K02227,96.90,323.6,2.4e-97,adenosylcobinamide-phosphate synthase [EC:6.3.1.10],cobD/cbiB,adenosylcobinamide-phosphate synthase
Corynebacterium_amycolatum_LK19,,Corynebacterium_amycolatum_LK19_01660,K22316,318.33,281.0,2.2e-84,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],cobC/rnhA,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase
Corynebacterium_amycolatum_LK19,*,Corynebacterium_amycolatum_LK19_01694,K02233,72.47,170.1,1e-50,adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26],cobS/cobV,adenosylcobinamide-GDP ribazoletransferase
Corynebacterium_amycolatum_LK19,*,Corynebacterium_amycolatum_LK19_01695,K00768,120.60,484.4,6.5e-146,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],cobU/cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
Corynebacterium_amycolatum_LK19,*,Corynebacterium_amycolatum_LK19_01696,K02231,47.07,182.7,1.3e-54,adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62],cobP/cobU,adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase
Corynebacterium_amycolatum_LK19,*,Corynebacterium_amycolatum_LK19_02153,K04719,214.00,266.6,4.9e-80,"5,6-dimethylbenzimidazole synthase [EC:1.13.11.79]",bluB,"5,6-dimethylbenzimidazole synthase "
Corynebacterium_amycolatum_LK19,*,Corynebacterium_amycolatum_LK19_02194,K00798,37.20,237.9,1.2e-71,cob(I)alamin adenosyltransferase [EC:2.5.1.17],pduO,cob(I)alamin adenosyltransferase
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_00136,K02228,126.63,335.5,6.5e-101,precorrin-6A synthase [EC:2.1.1.152],cobF,precorrin-6A synthase 
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_00278,K02492,72.67,474.3,1e-142,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_00279,K01749,112.17,343.7,2e-103,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_00280,K13542,412.30,648.6,2.1e-195,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],cobA-hemD,uroporphyrinogen III methyltransferase / synthase
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_00281,K01698,175.97,552.4,2.3e-166,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_00285,K01845,309.63,604.9,3.1e-182,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_01244,K02230,1031.53,1496.8,0,cobaltochelatase CobN [EC:6.6.1.2],cobN,cobaltochelatase CobN
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_01245,K02229,272.23,357.1,1.9e-107,precorrin-3B synthase [EC:1.14.13.83],cobG,precorrin-3B synthase
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_01246,K06042,132.10,307.4,1.7e-92,precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60],cobH/cbiC,precorrin-8X/cobalt-precorrin-8 methylmutase
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_01247,K13540,602.20,744.9,5.5e-225,precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase [EC:2.1.1.130 2.1.1.131],cobIJ,precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_01249,K05895,156.53,342.7,4.7e-103,precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106],cobK/cbiJ,precorrin-6A/cobalt-precorrin-6A reductase
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_01250,K05936,231.50,371.2,1.2e-111,precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271],cobM/cbiF,precorrin-4/cobalt-precorrin-4 C11-methyltransferase
Corynebacterium_aquilae_DSM_44791strain_S-613,*,Corynebacterium_aquilae_DSM_44791strain_S-613_01251,K00595,219.93,450.9,6.6e-136,"precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]",cobL/cbiET,"precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase"
